,0
274,192
275,241
276,198
277,163
278,153
279,147
280,172
281,212
282,173
283,234
284,129
285,188
286,157
287,99
288,106
289,232
290,251
291,249
292,154
293,310
294,160
295,129
296,83
297,98
298,157
299,193
300,155
301,351
302,156
303,127
304,94
305,374
306,171
307,155
308,234
309,193
310,161
311,101
312,90
313,192
314,92
315,179
316,160
317,188
318,363
319,155
320,305
321,195
322,202
323,143
324,284
325,337
326,145
327,104
328,174
329,106
330,195
331,178
332,155
333,210
334,187
335,185
336,152
337,371
338,214
339,157
340,120
341,156
342,150
343,171
344,141
345,270
346,167
347,143
348,115
349,328
350,112
351,135
352,230
353,293
354,104
355,348
356,242
357,186
358,120
359,150
360,89
361,159
362,175
363,149
364,123
365,160
366,238
367,161
368,129
369,144
370,212
371,184
372,256
373,142
374,184
375,198
376,193
377,207
378,131
379,125
380,128
381,245
382,258
383,199
384,145
385,152
386,176
387,185
388,99
389,121
390,160
391,243
392,365
393,195
394,179
395,177
396,204
397,317
398,262
399,112
400,152
401,374
402,222
403,204
404,166
405,338
406,142
407,178
408,200
409,86
410,250
411,225
412,104
413,149
414,159
415,231
416,245
417,139
418,141
419,192
420,172
421,340
422,194
423,140
424,188
425,175
426,363
427,146
428,225
429,184
430,95
431,95
432,193
433,328
434,218
435,96
436,179
437,281
438,90
439,116
440,123
441,145
442,301
443,174
444,155
445,441
446,147
447,138
448,191
449,143
450,125
451,179
452,114
453,378
454,183
455,300
456,226
457,155
458,154
459,169
460,230
461,299
462,162
463,119
464,234
465,126
466,119
467,113
468,308
469,167
470,208
471,184
472,206
473,177
474,394
475,377
476,228
477,334
478,559
479,169
480,483
481,146
482,388
483,223
484,349
485,238
486,93
487,153
488,257
489,379
490,372
491,183
492,358
493,155
494,232
495,311
496,342
497,274
498,530
499,246
500,124
501,269
502,369
503,248
504,327
505,242
506,124
507,356
508,183
509,388
510,342
511,147
512,343
513,151
514,187
515,331
516,250
517,367
518,129
519,141
520,442
521,301
522,269
523,147
524,454
525,258
526,133
527,136
528,200
529,197
530,337
531,218
532,382
533,244
534,323
535,205
536,124
537,189
538,306
539,142
540,347
541,200
542,147
543,191
544,224
545,248
546,246
547,336
548,208
549,54
550,116
551,48
552,30
553,52
554,90
555,36
556,68
557,44
558,60
559,47
560,43
561,44
562,42
563,33
564,49
565,46
566,38
567,42
568,40
569,60
570,59
571,65
572,70
573,47
574,30
575,49
576,54
577,49
578,25
579,50
580,48
581,62
582,45
583,40
584,30
585,47
586,38
587,53
588,53
589,110
590,51
591,46
592,55
593,55
594,47
595,134
596,45
597,44
598,43
599,39
600,54
601,26
602,45
603,57
604,95
605,54
606,216
607,71
608,31
609,78
610,50
611,46
612,52
613,42
614,42
615,40
616,26
617,58
618,53
619,56
620,124
621,49
622,80
623,42
624,64
625,65
626,52
627,41
628,38
629,39
630,47
631,53
632,144
633,41
634,57
635,33
636,52
637,50
638,64
639,45
640,95
641,42
642,48
643,42
644,46
645,81
646,51
647,40
648,57
649,40
650,63
651,25
652,40
653,42
654,74
655,45
656,51
657,37
658,44
659,42
660,68
661,100
662,62
663,42
664,45
665,66
666,41
667,41
668,26
669,52
670,40
671,38
672,43
673,40
674,41
675,42
676,70
677,62
678,94
679,80
680,98
681,56
682,56
683,83
684,55
685,64
686,96
687,105
688,69
689,64
690,64
691,55
692,101
693,99
694,200
695,172
696,195
697,97
698,116
699,91
700,162
701,203
702,110
703,167
704,195
705,65
706,53
707,92
708,76
709,165
710,149
711,126
712,156
713,82
714,90
715,107
716,140
717,212
718,80
719,120
720,122
721,88
722,113
723,180
724,57
725,54
726,57
727,81
728,74
729,115
730,94
731,103
732,51
733,71
734,52
735,71
736,84
737,84
738,165
739,69
740,81
741,56
742,53
743,57
744,107
745,96
746,59
747,70
748,53
749,64
750,41
751,78
752,89
753,134
754,70
755,254
756,59
757,77
758,129
759,110
760,62
761,54
762,149
763,222
764,118
765,241
766,233
767,108
768,37
769,121
770,107
771,104
772,155
773,103
774,75
775,104
776,106
777,101
778,93
779,132
780,97
781,114
782,218
783,61
784,54
785,53
786,78
787,74
788,83
789,89
790,87
791,64
792,77
793,138
794,62
795,70
796,78
797,74
798,58
799,76
800,78
801,59
802,43
803,40
804,47
805,148
806,127
807,143
808,177
809,112
810,225
811,57
812,56
813,65
814,71
815,67
816,73
817,72
818,71
819,59
820,70
821,69
822,70
823,70
824,68
825,69
826,94
827,104
828,101
829,98
830,100
831,121
832,125
833,96
834,97
835,95
836,96
837,89
838,96
839,137
840,244
841,206
842,233
843,207
844,155
845,172
846,224
847,141
848,96
849,248
850,258
851,271
852,274
853,245
854,212
855,161
856,189
857,159
858,239
859,131
860,125
861,284
862,329
863,326
864,274
865,326
866,111
867,348
868,352
869,368
870,375
871,325
872,375
873,305
874,410
875,308
876,348
877,335
878,321
879,322
880,311
881,332
882,294
883,272
884,289
885,285
886,350
887,222
888,360
889,292
890,336
891,313
892,307
893,275
894,271
895,289
896,271
897,272
898,288
899,240
900,233
901,192
902,132
903,94
904,122
905,115
906,130
907,135
908,214
909,237
910,224
911,239
912,300
913,317
914,330
915,283
916,263
917,284
918,277
919,254
920,335
921,311
922,293
923,233
924,247
925,225
926,219
927,237
928,264
929,243
930,240
931,238
932,228
933,246
934,239
935,244
936,250
937,242
938,329
939,247
940,283
941,286
942,290
943,298
944,291
945,323
946,280
947,241
948,241
949,212
950,282
951,275
952,260
953,182
954,197
955,229
956,207
957,135
958,146
959,150
960,129
961,196
962,255
963,154
964,140
965,214
966,212
967,121
968,112
969,138
970,141
971,140
972,114
973,83
974,78
975,83
976,98
977,78
978,109
979,101
980,82
981,45
982,111
983,110
984,136
985,233
986,222
987,201
988,234
989,233
990,235
991,170
992,190
993,459
994,65
995,65
996,382
997,242
998,99
999,221
1000,208
1001,146
1002,194
1003,220
1004,113
1005,159
1006,142
1007,279
1008,106
1009,92
1010,334
1011,368
1012,149
1013,100
1014,166
1015,282
1016,353
1017,180
1018,91
1019,251
1020,306
1021,198
1022,205
1023,355
1024,379
1025,274
1026,29
1027,101
1028,141
1029,166
1030,127
1031,107
1032,83
1033,273
1034,215
1035,101
1036,274
1037,101
1038,94
1039,100
1040,118
1041,313
1042,137
1043,196
1044,160
1045,74
1046,113
1047,271
1048,282
1049,79
1050,191
1051,42
1052,120
1053,104
1054,313
1055,190
1056,270
1057,176
1058,282
1059,107
1060,67
1061,142
1062,224
1063,186
1064,111
1065,131
1066,229
1067,158
1068,331
1069,133
1070,335
1071,189
1072,89
1073,155
1074,275
1075,93
1076,119
1077,120
1078,212
1079,101
1080,75
1081,101
1082,89
1083,127
1084,202
1085,247
1086,390
1087,107
1088,171
1089,104
1090,267
1091,101
1092,327
1093,130
1094,198
1095,101
1096,348
1097,9
1098,102
1099,47
1100,328
1101,101
1102,280
1103,328
1104,311
1105,107
1106,369
1107,239
1108,304
1109,110
1110,363
1111,274
1112,297
1113,58
1114,174
1115,206
1116,121
1117,192
1118,110
1119,274
1120,126
1121,107
1122,221
1123,382
1124,344
1125,170
1126,184
1127,93
1128,301
1129,304
1130,234
1131,314
1132,84
1133,322
1134,260
1135,197
1136,84
1137,15
1138,109
1139,204
1140,256
1141,175
1142,150
1143,109
1144,118
1145,305
1146,370
1147,188
1148,118
1149,80
1150,117
1151,58
1152,163
1153,38
1154,43
1155,17
1156,27
1157,24
1158,24
1159,25
1160,30
1161,26
1162,28
1163,177
1164,23
1165,45
1166,23
1167,66
1168,26
1169,26
1170,31
1171,21
1172,30
1173,39
1174,22
1175,36
1176,30
1177,26
1178,16
1179,37
1180,28
1181,32
1182,26
1183,19
1184,184
1185,48
1186,58
1187,25
1188,21
1189,34
1190,25
1191,34
1192,66
1193,19
1194,24
1195,16
1196,31
1197,26
1198,47
1199,16
1200,21
1201,15
1202,31
1203,27
1204,26
1205,26
1206,51
1207,23
1208,21
1209,37
1210,43
1211,42
1212,102
1213,24
1214,28
1215,27
1216,42
1217,32
1218,15
1219,43
1220,58
1221,19
1222,27
1223,27
1224,35
1225,32
1226,36
1227,67
1228,26
1229,27
1230,15
1231,27
1232,30
1233,40
1234,42
1235,26
1236,15
1237,46
1238,38
1239,27
1240,38
